Loan_ID,Gender,Married,Dependents,Graduate,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
2284,1,0,0,0,0,3902,1666,109,333,1,3,Y
2287,2,0,0,1,0,1500,1800,103,333,0,2,N
2288,1,1,2,0,0,2889,0,45,180,0,1,N
2296,1,0,0,0,0,2755,0,65,300,1,3,N
2297,1,0,0,1,0,2500,20000,103,333,1,2,Y
2300,2,0,0,0,0,1963,0,53,333,1,2,Y
2301,2,0,0,1,1,7441,0,194,333,1,3,N
2305,2,0,0,1,0,4547,0,115,333,1,2,Y
2308,1,1,0,0,0,2167,2400,115,333,1,1,Y
2314,2,0,0,0,0,2213,0,66,333,1,3,Y
2315,1,1,1,1,0,8300,0,152,300,0,2,N
1900,1,1,1,1,0,2750,1842,115,333,1,2,Y
1903,1,1,0,1,0,3993,3274,207,333,1,2,Y
1904,1,1,0,1,0,3103,1300,80,333,1,1,Y
1907,1,1,0,1,0,14583,0,436,333,1,2,Y
1908,2,1,0,0,0,4100,0,124,333,0,3,Y
1910,1,0,1,0,1,4053,2426,158,333,0,1,N
1914,1,1,0,1,0,3927,800,112,333,1,2,Y
1915,1,1,2,1,0,2301,985.7999878,78,180,1,1,Y
1917,2,0,0,1,0,1811,1666,54,333,1,1,Y
1922,1,1,0,1,0,20667,0,333,333,1,3,N
1924,1,0,0,1,0,3158,3053,89,333,1,3,Y
1925,2,0,0,1,1,2600,1717,99,300,1,2,N
1926,1,1,0,1,0,3704,2000,120,333,1,3,Y
1931,2,0,0,1,0,4124,0,115,333,1,2,Y
1935,1,0,0,1,0,9508,0,187,333,1,3,Y
1936,1,1,0,1,0,3075,2416,139,333,1,3,Y
1938,1,1,2,1,0,4400,0,127,333,0,2,N
1940,1,1,2,1,0,3153,1560,134,333,1,1,Y
1945,2,0,0,1,0,5417,0,143,480,0,1,N
1947,1,1,0,1,0,2383,3334,172,333,1,2,Y
1949,1,1,3,1,0,4416,1250,110,333,1,1,Y
1953,1,1,1,1,0,6875,0,200,333,1,2,Y
1954,2,1,1,1,0,4666,0,135,333,1,1,Y
1955,2,0,0,1,0,5000,2541,151,480,1,3,N
1963,1,1,1,1,0,2014,2925,113,333,1,1,N
1964,1,1,0,0,0,1800,2934,93,333,0,1,N
1972,1,1,0,0,0,2875,1750,105,333,1,2,Y
