date,YearWeek,iso_date,keyword,search_demand,Brand
03/01/2010,201053,03/01/2011,/m/0k8z,29,Apple
14/11/2010,201045,08/11/2010,/m/0k8z,34,Apple
21/11/2010,201046,15/11/2010,/m/0k8z,39,Apple
28/11/2010,201047,22/11/2010,/m/0k8z,34,Apple
05/12/2010,201048,29/11/2010,/m/0k8z,33,Apple
12/12/2010,201049,06/12/2010,/m/0k8z,34,Apple
19/12/2010,201050,13/12/2010,/m/0k8z,37,Apple
26/12/2010,201051,20/12/2010,/m/0k8z,39,Apple
02/01/2011,201152,26/12/2011,/m/0k8z,37,Apple
09/01/2011,201101,03/01/2011,/m/0k8z,32,Apple
16/01/2011,201102,10/01/2011,/m/0k8z,32,Apple
23/01/2011,201103,17/01/2011,/m/0k8z,29,Apple
30/01/2011,201104,24/01/2011,/m/0k8z,28,Apple
06/02/2011,201105,31/01/2011,/m/0k8z,29,Apple
13/02/2011,201106,07/02/2011,/m/0k8z,28,Apple
20/02/2011,201107,14/02/2011,/m/0k8z,31,Apple
27/02/2011,201108,21/02/2011,/m/0k8z,42,Apple
06/03/2011,201109,28/02/2011,/m/0k8z,36,Apple
13/03/2011,201110,07/03/2011,/m/0k8z,33,Apple
20/03/2011,201111,14/03/2011,/m/0k8z,35,Apple
27/03/2011,201112,21/03/2011,/m/0k8z,32,Apple
03/04/2011,201113,28/03/2011,/m/0k8z,30,Apple
10/04/2011,201114,04/04/2011,/m/0k8z,30,Apple
17/04/2011,201115,11/04/2011,/m/0k8z,31,Apple
24/04/2011,201116,18/04/2011,/m/0k8z,32,Apple
01/05/2011,201117,25/04/2011,/m/0k8z,32,Apple
08/05/2011,201118,02/05/2011,/m/0k8z,31,Apple
15/05/2011,201119,09/05/2011,/m/0k8z,31,Apple
22/05/2011,201120,16/05/2011,/m/0k8z,30,Apple
29/05/2011,201121,23/05/2011,/m/0k8z,30,Apple
05/06/2011,201122,30/05/2011,/m/0k8z,38,Apple
12/06/2011,201123,06/06/2011,/m/0k8z,32,Apple
19/06/2011,201124,13/06/2011,/m/0k8z,31,Apple
26/06/2011,201125,20/06/2011,/m/0k8z,30,Apple
03/07/2011,201126,27/06/2011,/m/0k8z,30,Apple
10/07/2011,201127,04/07/2011,/m/0k8z,31,Apple
17/07/2011,201128,11/07/2011,/m/0k8z,38,Apple
24/07/2011,201129,18/07/2011,/m/0k8z,35,Apple
31/07/2011,201130,25/07/2011,/m/0k8z,33,Apple
07/08/2011,201131,01/08/2011,/m/0k8z,33,Apple
14/08/2011,201132,08/08/2011,/m/0k8z,33,Apple
21/08/2011,201133,15/08/2011,/m/0k8z,36,Apple
28/08/2011,201134,22/08/2011,/m/0k8z,34,Apple
04/09/2011,201135,29/08/2011,/m/0k8z,33,Apple
11/09/2011,201136,05/09/2011,/m/0k8z,32,Apple
18/09/2011,201137,12/09/2011,/m/0k8z,32,Apple
25/09/2011,201138,19/09/2011,/m/0k8z,33,Apple
02/10/2011,201139,26/09/2011,/m/0k8z,97,Apple
09/10/2011,201140,03/10/2011,/m/0k8z,59,Apple
