date,YearWeek,Date2,keyword,search_demand,Brand
2010-11-14,201045,2010-11-08,/m/0k8z,7,Apple
2010-11-21,201046,2010-11-15,/m/0k8z,6,Apple
2010-11-28,201047,2010-11-22,/m/0k8z,5,Apple
2010-12-05,201048,2010-11-29,/m/0k8z,4,Apple
2010-12-12,201049,2010-12-06,/m/0k8z,5,Apple
2010-12-19,201050,2010-12-13,/m/0k8z,5,Apple
2010-12-26,201051,2010-12-20,/m/0k8z,5,Apple
2011-01-02,201152,2011-12-26,/m/0k8z,6,Apple
2011-01-09,201101,2011-01-03,/m/0k8z,6,Apple
2011-01-16,201102,2011-01-10,/m/0k8z,13,Apple
2011-01-23,201103,2011-01-17,/m/0k8z,6,Apple
2011-01-30,201104,2011-01-24,/m/0k8z,5,Apple
2011-02-06,201105,2011-01-31,/m/0k8z,5,Apple
2011-02-13,201106,2011-02-07,/m/0k8z,6,Apple
2011-02-20,201107,2011-02-14,/m/0k8z,7,Apple
2011-02-27,201108,2011-02-21,/m/0k8z,15,Apple
2011-03-06,201109,2011-02-28,/m/0k8z,6,Apple
2011-03-13,201110,2011-03-07,/m/0k8z,5,Apple
2011-03-20,201111,2011-03-14,/m/0k8z,5,Apple
2011-03-27,201112,2011-03-21,/m/0k8z,5,Apple
2011-04-03,201113,2011-03-28,/m/0k8z,5,Apple
2011-04-10,201114,2011-04-04,/m/0k8z,5,Apple
2011-04-17,201115,2011-04-11,/m/0k8z,6,Apple
2011-04-24,201116,2011-04-18,/m/0k8z,5,Apple
2011-05-01,201117,2011-04-25,/m/0k8z,5,Apple
2011-05-08,201118,2011-05-02,/m/0k8z,5,Apple
2011-05-15,201119,2011-05-09,/m/0k8z,5,Apple
2011-05-22,201120,2011-05-16,/m/0k8z,4,Apple
2011-05-29,201121,2011-05-23,/m/0k8z,5,Apple
2011-06-05,201122,2011-05-30,/m/0k8z,15,Apple
2011-06-12,201123,2011-06-06,/m/0k8z,5,Apple
2011-06-19,201124,2011-06-13,/m/0k8z,5,Apple
2011-06-26,201125,2011-06-20,/m/0k8z,5,Apple
2011-07-03,201126,2011-06-27,/m/0k8z,4,Apple
2011-07-10,201127,2011-07-04,/m/0k8z,5,Apple
2011-07-17,201128,2011-07-11,/m/0k8z,8,Apple
2011-07-24,201129,2011-07-18,/m/0k8z,6,Apple
2011-07-31,201130,2011-07-25,/m/0k8z,6,Apple
2011-08-07,201131,2011-08-01,/m/0k8z,8,Apple
2011-08-14,201132,2011-08-08,/m/0k8z,6,Apple
2011-08-21,201133,2011-08-15,/m/0k8z,21,Apple
2011-08-28,201134,2011-08-22,/m/0k8z,8,Apple
2011-09-04,201135,2011-08-29,/m/0k8z,7,Apple
2011-09-11,201136,2011-09-05,/m/0k8z,6,Apple
2011-09-18,201137,2011-09-12,/m/0k8z,7,Apple
2011-09-25,201138,2011-09-19,/m/0k8z,6,Apple
2011-10-02,201139,2011-09-26,/m/0k8z,100,Apple
2011-10-09,201140,2011-10-03,/m/0k8z,20,Apple
2011-10-16,201141,2011-10-10,/m/0k8z,13,Apple
2011-10-23,201142,2011-10-17,/m/0k8z,9,Apple
2011-10-30,201143,2011-10-24,/m/0k8z,8,Apple
2011-11-06,201144,2011-10-31,/m/0k8z,7,Apple
2011-11-13,201145,2011-11-07,/m/0k8z,7,Apple
2011-11-20,201146,2011-11-14,/m/0k8z,6,Apple
2011-11-27,201147,2011-11-21,/m/0k8z,6,Apple
2011-12-04,201148,2011-11-28,/m/0k8z,6,Apple
2011-12-11,201149,2011-12-05,/m/0k8z,6,Apple
2011-12-18,201150,2011-12-12,/m/0k8z,5,Apple
2011-12-25,201151,2011-12-19,/m/0k8z,6,Apple
2012-01-01,201252,2012-12-24,/m/0k8z,6,Apple
2012-01-08,201201,2012-01-02,/m/0k8z,6,Apple
2012-01-15,201202,2012-01-09,/m/0k8z,7,Apple
2012-01-22,201203,2012-01-16,/m/0k8z,10,Apple
2012-01-29,201204,2012-01-23,/m/0k8z,7,Apple
2012-02-05,201205,2012-01-30,/m/0k8z,6,Apple
2012-02-12,201206,2012-02-06,/m/0k8z,8,Apple
2012-02-19,201207,2012-02-13,/m/0k8z,7,Apple
2012-02-26,201208,2012-02-20,/m/0k8z,7,Apple
2012-03-04,201209,2012-02-27,/m/0k8z,19,Apple
2012-03-11,201210,2012-03-05,/m/0k8z,9,Apple
2012-03-18,201211,2012-03-12,/m/0k8z,11,Apple
2012-03-25,201212,2012-03-19,/m/0k8z,7,Apple
2012-04-01,201213,2012-03-26,/m/0k8z,7,Apple
2012-04-08,201214,2012-04-02,/m/0k8z,7,Apple
2012-04-15,201215,2012-04-09,/m/0k8z,8,Apple
2012-04-22,201216,2012-04-16,/m/0k8z,11,Apple
2012-04-29,201217,2012-04-23,/m/0k8z,7,Apple
2012-05-06,201218,2012-04-30,/m/0k8z,6,Apple
2012-05-13,201219,2012-05-07,/m/0k8z,6,Apple
2012-05-20,201220,2012-05-14,/m/0k8z,6,Apple
2012-05-27,201221,2012-05-21,/m/0k8z,6,Apple
2012-06-03,201222,2012-05-28,/m/0k8z,6,Apple
2012-06-10,201223,2012-06-04,/m/0k8z,16,Apple
2012-06-17,201224,2012-06-11,/m/0k8z,6,Apple
2012-06-24,201225,2012-06-18,/m/0k8z,5,Apple
2012-07-01,201226,2012-06-25,/m/0k8z,5,Apple
2012-07-08,201227,2012-07-02,/m/0k8z,5,Apple
2012-07-15,201228,2012-07-09,/m/0k8z,5,Apple
2012-07-22,201229,2012-07-16,/m/0k8z,9,Apple
2012-07-29,201230,2012-07-23,/m/0k8z,5,Apple
2012-08-05,201231,2012-07-30,/m/0k8z,5,Apple
2012-08-12,201232,2012-08-06,/m/0k8z,6,Apple
2012-08-19,201233,2012-08-13,/m/0k8z,9,Apple
2012-08-26,201234,2012-08-20,/m/0k8z,10,Apple
2012-09-02,201235,2012-08-27,/m/0k8z,8,Apple
2012-09-09,201236,2012-09-03,/m/0k8z,38,Apple
2012-09-16,201237,2012-09-10,/m/0k8z,13,Apple
2012-09-23,201238,2012-09-17,/m/0k8z,11,Apple
2012-09-30,201239,2012-09-24,/m/0k8z,10,Apple
2012-10-07,201240,2012-10-01,/m/0k8z,8,Apple
2012-10-14,201241,2012-10-08,/m/0k8z,8,Apple
2012-10-21,201242,2012-10-15,/m/0k8z,18,Apple
2012-10-28,201243,2012-10-22,/m/0k8z,9,Apple
2012-11-04,201244,2012-10-29,/m/0k8z,10,Apple
2012-11-11,201245,2012-11-05,/m/0k8z,8,Apple
2012-11-18,201246,2012-11-12,/m/0k8z,8,Apple
2012-11-25,201247,2012-11-19,/m/0k8z,7,Apple
2012-12-02,201248,2012-11-26,/m/0k8z,8,Apple
2012-12-09,201249,2012-12-03,/m/0k8z,7,Apple
2012-12-16,201250,2012-12-10,/m/0k8z,8,Apple
2012-12-23,201251,2012-12-17,/m/0k8z,7,Apple
2012-12-30,201252,2012-12-24,/m/0k8z,7,Apple
2013-01-06,201301,2012-12-31,/m/0k8z,7,Apple
2013-01-13,201302,2013-01-07,/m/0k8z,9,Apple
2013-01-20,201303,2013-01-14,/m/0k8z,15,Apple
2013-01-27,201304,2013-01-21,/m/0k8z,9,Apple
2013-02-03,201305,2013-01-28,/m/0k8z,7,Apple
2013-02-10,201306,2013-02-04,/m/0k8z,7,Apple
2013-02-17,201307,2013-02-11,/m/0k8z,6,Apple
2013-02-24,201308,2013-02-18,/m/0k8z,7,Apple
2013-03-03,201309,2013-02-25,/m/0k8z,7,Apple
2013-03-10,201310,2013-03-04,/m/0k8z,6,Apple
2013-03-17,201311,2013-03-11,/m/0k8z,6,Apple
2013-03-24,201312,2013-03-18,/m/0k8z,6,Apple
2013-03-31,201313,2013-03-25,/m/0k8z,6,Apple
2013-04-07,201314,2013-04-01,/m/0k8z,6,Apple
2013-04-14,201315,2013-04-08,/m/0k8z,7,Apple
2013-04-21,201316,2013-04-15,/m/0k8z,10,Apple
2013-04-28,201317,2013-04-22,/m/0k8z,7,Apple
2013-05-05,201318,2013-04-29,/m/0k8z,6,Apple
